id,neighborhood,advertiser,title,category,search_keyword,rating,reviews_count,lat,lng,address,reward,discountPercentage,actionText,imageUrl
1,حي الخليج,مطعم الشام,مطعم الشام,عام,مطعم,4,1202,24.7639006,46.8021192,"3494 الامير بندر بن عبدالعزيز، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
2,حي الخليج,الرومانسية -النهضة | Al romansiah,الرومانسية -النهضة | Al romansiah,عام,مطعم,4.3,11746,24.7585131,46.8140823,"سلمان الفارسي، النهضة 6901، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
3,حي الخليج,مطعم بيت شهيل للأكلات الشعبية,مطعم بيت شهيل للأكلات الشعبية,عام,مطعم,4.2,258,24.7710856,46.8127525,"حي، الامير بندر بن عبدالعزيز، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
4,حي الخليج,مطعم ورد وكباب,مطعم ورد وكباب,عام,مطعم,4.3,458,24.7688739,46.7823218,"طريق الشيخ حسن بن حسين بن علي، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
5,حي الخليج,مطعم زمان الخليج للمشويات والرز البخاري,مطعم زمان الخليج للمشويات والرز البخاري,عام,مطعم,4.2,915,24.7732062,46.8172339,"8508 الامير بندر بن عبدالعزيز، 2977، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
6,حي الخليج,مطعم ذوق اللؤلؤة,مطعم ذوق اللؤلؤة,عام,مطعم,4.1,2445,24.7512872,46.7818928,"الامير بندر بن عبدالعزيز، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
7,حي الخليج,مطعم ومقهى لمة بيت العز,مطعم ومقهى لمة بيت العز,عام,مطعم,4.4,1083,24.771355,46.8141956,"الامير بندر بن عبدالعزيز، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
8,حي الخليج,مطعم سمرقندي,مطعم سمرقندي,عام,مطعم,4.2,3310,24.7434243,46.8091727,"2545 طريق خريص الفرعي، النسيم الغربي، الرياض 14231 7981،، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
9,حي الخليج,مطعم صاج المختار,مطعم صاج المختار,عام,مطعم,4.1,4742,24.760822,46.8178969,"3078 شارع محمد بن أحمد السديري، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
10,حي الخليج,مطعم ألاتوركا,مطعم ألاتوركا,عام,مطعم,4,673,24.7744348,46.8181526,"6809 الامير بندر بن عبدالعزيز،، الخليج 4308 الرياض 13224",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
11,حي الخليج,مطعم شموخ القوافل للأكلات الشعبيه,مطعم شموخ القوافل للأكلات الشعبيه,عام,مطعم,4.1,1676,24.7690343,46.7932094,"QQ9V+J7، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
12,حي الخليج,أيام درب الزلق,أيام درب الزلق,عام,مطعم,3.9,980,24.7634278,46.8098614,"، حي، سلمان الفارسي، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
13,حي الخليج,مطعم الاسطول المتميز - حي الخليج Alostool Restaurant - Al Khaleej District,مطعم الاسطول المتميز - حي الخليج Alostool Restaurant - Al Khaleej District,عام,مطعم,3.6,792,24.7799087,46.8103915,"شارع بحر العرب، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
14,حي الخليج,شواية المستقبل البخاري,شواية المستقبل البخاري,عام,مطعم,4.3,249,24.7690148,46.792294,"حي, ابي سعيد الخدري، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
15,حي الخليج,مطعم زهرة التنور للمشويات,مطعم زهرة التنور للمشويات,عام,مطعم,3.9,918,24.7683265,46.809368,"الامير بندر بن عبدالعزيز -النهضة، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
16,حي الخليج,مطعم واد المحيط للمأكولات البحرية,مطعم واد المحيط للمأكولات البحرية,عام,مطعم,4.7,1376,24.7654307,46.7849597,"شارع الحسن بن الحسين بن علي, الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
17,حي الخليج,شواية الرياض الان المستقبل,شواية الرياض الان المستقبل,عام,مطعم,3.9,553,24.7652522,46.804461,"3421 الامير بندر بن عبدالعزيز، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
18,حي الخليج,ركن الصياد,ركن الصياد,عام,مطعم,4.5,834,24.7647616,46.8094818,"سلمان الفارسي، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
19,حي الخليج,مطعم سواخن الفرع الاول,مطعم سواخن الفرع الاول,عام,مطعم,3.7,1332,24.7483696,46.8217976,"8538 3820 شارع حسان بن ثابت، الرياض",1.5,15,الاتجاهات,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?q=80&w=500
