id,neighborhood,advertiser,title,category,search_keyword,rating,reviews_count,lat,lng,address,reward,discountPercentage,actionText,imageUrl
1,حي الخليج,مطعم الشام,مطعم الشام,عام,مطعم,4.0,1202,24.7639006,46.8021192,"3494 Prince Bandar Ibn Abd Al Aziz, An Nahdah, Riyadh 13224, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfX7AKxutMJDOQF30QEmkZfxwqOWEAVA4nVWnbx0QNMZ3xyIu_KGDM19bvLOzETLbcjEOZk-nnZUh79DpHh7ERaIFC5aoLgeeRuUyan8GSB8ONoXcxtsa201faIZ3tKywsocam9iq6gVGIp9ZUG82F_AvDlUg0_8yJkHvTYx45rtqzPw25KH39xVDLcyiN0a_Pi_8S8HtsJVL38dd-_aSa-TvrgpCNakJL9WP3MNB82AAQQwicUJf0BUj1L3T1njnRK9FB86wqBzpTkZHR8j5ULT5bME4-8dE1I7QroSBbJqaqSaoZoQysINwNnBCRjfa5r_aflN8RfBiF3Q3_BcNKv_h8Ke5dFJPt3PU2EyKACUr7m-6tL4RM-TTEjM5I5mI6YuT1tdZytMsvxp0Kdn4ZgzMD6UvNyS3DccnDK9HBcIDuuj6xt4S31OP_awTIICCLZjSaqzuM6VamceCjEq3UbSng2UFlYeYkOr0o0GlidPL6Jfbuv8aM82maNeCc67_6lkGFdlaRcy4YYIL1EGyukh35OCtj0KE08wwrDNTW40JzyUeBB0wRFXcoEeN8ldE_CtqXDz&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
2,حي الخليج,الرومانسية -النهضة | Al romansiah,الرومانسية -النهضة | Al romansiah,عام,مطعم,4.3,11748,24.7585131,46.8140823,"2697، سلمان الفارسي، النهضة 6901, Riyadh 13222, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfV_EqeyPekeTgTZF8vuJi5WAoROr763rPmr8m5-u4fcxkMVEsoKihxHTyhg-Eamc8TOsEs9r9KM5Iu4W9G2_oBtEfueKEej2oueHPGIYHZo2EyJqMTgcjuH8bwO_8wvfS99dV6BK1iV0sPDjXBMu9eO5AR5ExODLVrp_Pw2MPjccEz5F8LCBNpGscaL7xESmKK8gkwWZzR5MEpZycZ8uAlrcgfvkI642gADMhzc9c7YdR7xJ6sdn_K_-ZRr43VGUClLJ7_DFKavnJUWKXNgsK-gtYmlR6Qqh3GQsAJyW7Jf1b-IGszwRbCVCRXDDSWrh9IWkBlZ2GiNaGYWfRM6kRZP9JlRFFiBKn5MqnmaY0f96Dfq-NZkao0dr_5BTg-qrko_LqHBlQO2OiIfmwzyZw9NKLo4txeo3POihkTzqTz1FR1MaFzVN4F-NfIubN8H6wHHSgnJFFLS6ZXOzQscS7Nq3VSPFkagEp0dtKKkXGxTQ5QLRRdsKxm-AE3UZgZxPi8_78jwE1qI9cfD4CUr_8jFBoBbZH1Tnok6hENWWWtwA5rvbSksLULwVBdsg_aJI8ZKo78uGfQXGA&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
3,حي الخليج,مطعم بيت شهيل للأكلات الشعبية,مطعم بيت شهيل للأكلات الشعبية,عام,مطعم,4.2,258,24.7710856,46.81275249999999,"حي, Prince Bandar Ibn Abd Al Aziz, Al Khaleej, Riyadh 13224, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfWJ5qb7JBNW_gTyxOHq19pIPSCnlYqlgFN2chAgx9QaeDh2VItjSiEuvmhP0xS0MtmAHoa3VkXnqZFgVZz5vKrDr_Xc_Z0ma_a6KSq3c60r_M2M6-g8ZJGHTISMom4kbEECUYYR7sQNv-tSQdAwrjAJO6j_1oC3q6sMxgPPRs-jThPWHgRSdHmFplnyfmmd3YvL9EwhXyHoe_0vX1UuCA7IRWeEzLkVNBUJ8eAf8eGFRyxRX8dNwtaMArfzXiCprNJrH2DvTh7XwasRJyulGXzeenkblZlbYX45C8EXIvcTHQdWE2xn1xo33hgpwPaCHeE-hNqobCRGxRdZ32giLaxzINJyKkoPqZekXBJE5sgrDI7WCjOyB_KCezjSBjQZX8UXaYBjtp0i_eQc-yq06Xo0Sn8_pvjiz2k79TNc_MU6wmCu7jULADPvv0jAHsW4TOhkSPv-JtBTK4gypbT5y27P7Ijxeqeq9C7rAcbbrTa0zjHNvBZEnfsF_bVpK_L7XtdYeNcQIbRKTZBKaslLOS9wPRDaCcxSzAjsj147nE67yHapljMd5OPDYFGH3mnFarJXpqwW&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
4,حي الخليج,مطعم ورد وكباب,مطعم ورد وكباب,عام,مطعم,4.3,458,24.7688739,46.7823218,"Al Cheikh Hasan Ibn Hussein Ibn Ali, Al Khaleej, Riyadh 13223, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfUUAiiYbTUAvXWMIMfv8szp1wIk_ECKIyEpmlZiP3li18JGZOC_7vSNFelYp71t9t9fhA6ufzDOl25Lk45KMpEXb8xT2sp7ODH26RxbMqYx4RzHF9zvapTmNniPri5ase_tROguvHjomJdRQbv4gWxkKKhgNeDVcaD83w-E5mhSw2gxG26W-9pH5Wp8wtzvrPcoJZMuXPjwPQ1zJZou_FplFbwJ2147x6Cuj0mzqoeMJxV0jMVxianjkPrlfl1kPsdw-w0upSlm0N0xr_AUG3IkxUjDjtbdHBOy-LiRLlJtR5I_Xx0ZN8PvBtHk8daU75VxqT9eJVhS041nXDiGDiEnMbwJlevgUbIum7M3oyxiCSFsbJmp8qGGjGysQ4bv7Zc1MO8ZYU3PRLP9e01KSb9lZRd--SCzSy2xyScp68QP3x6qIcDgsDP0qxgvIf0d092eXl9srreXzJ5X9TH3fO68lAM-vckQunf9Cr90ZPNHiI1KdgsOcA1dsUS8wVaCktsHT1ukcXXo63TUjheXSxMts1HFNfOCb3Dk0dabyKYL-QF2RjaZFJR4BhsYsKkf_GMyzCSb&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
5,حي الخليج,مطعم زمان الخليج للمشويات والرز البخاري,مطعم زمان الخليج للمشويات والرز البخاري,عام,مطعم,4.2,915,24.7732062,46.8172339,"8508 Prince Bandar Ibn Abd Al Aziz, An Nahdah, 2977، Riyadh 13222, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfXGG4Zip5QsT3fImbA2AxCXtwTnjbQ3rV0a2yQT0OxXTfwGXC8TEBF1ShkcM9VjK7JSW1XlTNypBi57WV37q1J7AKBGPU-Jxi5Vzpg18TWEccF67_u5BPth8oEsLNZR_oMANvcCACrRBGANIhR4mnm0QwebFLm6Cpr982T46WrHOayFLOGAqFohCiuERAiElX3dknRb09qRuAmI7d-ajKmsV7YDZCH43XV2pYSLcyS_NwpQLENFr4mGA3-VANgZIR8igWdugUN8ZzquPDst9IZQgSZ6OsY0ED-ZtKXLRKAZUUQ07ciYx7bSNVl9OYUNDK8tDS6LXDqd8QFfiwJ8LE085B4ks6DzzuHxMYbHD7jJ9RFGlkc0d_UfmLsci6lpqenolu3lttdYfxzBTXm8OHPmaICapf7JyWSe0xRz8aGDIqu5fqJ6wEwdL0HXzaR4Lar4__zSUDo0dQPorl6kApnp4xPhgB_RUizQTIxcvUm_SF9toXiKwIVVs9sN4tL1hyXUWudweFTkdI91DQnGW9_17rz3aQ5jjeYzDNzG7cIY5LefagHxLw4zQ2zLNlEXH7vjCNTOmiqk0w&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
6,حي الخليج,مطعم ذوق اللؤلؤة,مطعم ذوق اللؤلؤة,عام,مطعم,4.1,2445,24.7512872,46.7818928,"Prince Bandar Ibn Abd Al Aziz, Al Andalus, Riyadh 13212, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfVzm8kvH6nli-5MdxR_qT5g_LzYl8gOFWNFktreBKGqlIawIict3hs9MS8XskebG2cI4bs8rvjIMnomtnEZzXt-flXhNXk9tTzsjr5PgfMEwR6tXy5VyE1tdiZrNfGDrt8GMHfB4wgtv9Rqz8QnBlKuUIdQ_jAVoIAYhQXx-rCNxDquJTY_ep88wbN60WFQDBk7HyN57Zv_ixN5hzHgbJuIhTllLFUyhG0KAUjI9qH4pRI3ps0d0UHkYuINHtCqxtq9xoMn2s66H2j_u85sMvunKioSuLdq60tudLCA2SMIkzKJbBepoBccAKgH7xrtj9vrnI7OgBolftc8uhFKZ_wpmdr6tF6vrcp0gqSVF1bAMGCde2x3Fc72Te-rukUqVHUU_EYBnCpUGXk0_rC-ppye2rCBfklLf-H9TcS9mHngZBUFB8OPlBWujo648LyVX77fUNfWTaaM4vmNPubUDIAeh7TK6pB5RY0F94_WlgbBVuS9Lt1bkeMK9MQ-WxhQVQk5Zx0wUyN9i21pLaBkUSwm_3H6V9OcugNkXvnEbxV8NN-UtArqoz9JNEAQreexgQFE_KRoR7nGpw&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
7,حي الخليج,مطعم ومقهى لمة بيت العز,مطعم ومقهى لمة بيت العز,عام,مطعم,4.4,1083,24.771355,46.8141956,"Prince Bandar Ibn Abd Al Aziz, An Nahdah, Riyadh 13222, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfWGvJhY-GJLvAADb7SmuCn-l2a_ZWH6rRG5GgXLXo--ikDwNttACtKW_aBsNY1XmWVOcGJV4KGj4xva-ubUKrCa0IOHkyLfvbuFDibvHo9fBseqNkohIhSO7xC0UZjPMXVgyvtOjxVo0HXir_1rJ33fYeqranG0YX-4q-KwS9YpmPAwltkCE3Akkwq3JNxDOfhUZsHpgHht0lwWoMKL9Y_tjjF3Q_La73j0JemiiPd_NAlOMjZwjLnve1O1I2YO7xE-dlHxEx6f_RL9V2fLKczpCMVSzSa_t4kiT77NYFMXpBmXL6jiZUjGukiNbb5l74D_XWB0E8NIrsNdIGw0PHgHmLaxd65BpKjVqDPWYJDIc_iiVDXYOJ0dw6LGuaN4WmxRVtVgiC7jUrrxm1_oT44e5N6qgSdjvQ9iFNxCf8ONlhXt1cVyxrkKypA7pfGAQ4FK8NJlOipCQ7T0bxGbWfffRYo8F4fQ7iFfP_3VfBN_hppwKVfyLl3ng7N4bWenu-UYDrZO2fU0F6U7jiRbDvuJX8vWPdqbZd8vb9kfeV-5Q6yfJvfkfNGxH5GV3SQrt-QI193Dbuq4g5KeV_fMnE-bWZI&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
8,حي الخليج,مطعم سمرقندي,مطعم سمرقندي,عام,مطعم,4.2,9749,24.8306199,46.7293968,"Al Thoumamah Rd, Qurtubah, Riyadh 13248, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfVJYq8afk5NgeAQdTgwx5X7gBjSsI3-wLZDc12upHXKpHMVapArODO5AnRfsE3Z4LByq7y_7rUWknb4U3wB1XEitNOWAKagcybEJbg4K9vju1DEY_AvRUE3tC4MuWSvmsjQOFH-mbnGLnuu2ZGAurSrGfsN4voCu5kVLAdu1ZB7xMzyB89Cl1HUFuvmzbp3fK26Ram1GFQOEnj5IGVnV2SBJltxHWhD0quFVoNzrOajS2D5u326f_7rsMl3PxoQKkslfSjQU_OcYmw4_GPBw6HkkUHAH3IJmb4HAHAt8-IkvCzYDilq1EF3UWaAXSPXxYUWslb3UyJb8Xzs0iFxZTwtqvp7M63E1MxiOozVRm-eeleI30VYjmC4RHrvD0aTBnfPFPCTtURcGX-OQ6IbKh5Y_B4q3nYMACQlSBxH255Ib9QpvXLhjrE2LQyjNOwLiYLuEySQdvOryKOxtRSz6V12E_u-DUUgzjWYd5CnnZuUZ3SL0thtEifxfGM0P0tfPNv1Riy_U2oDTj0MGRdIG_pGLsSkUt__Hep8tTKqJy-rTcWKN3Qj3nhMDH24u9p4MFZmdfZ3vqUvWA&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
9,حي الخليج,مطعم صاج المختار,مطعم صاج المختار,عام,مطعم,4.1,4745,24.760822,46.8178969,"3078 Muhammad Ibn Ahmad Al Soudairi, An Nahdah, Riyadh 13222, Saudi Arabia",1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfVbvMefEayrJR_juP5XChGqmg5lV6t6SITZjuDu0cRHi1_2i7e5vnalWfiHtEldNkTGfe1_2jIBFYmqo1t_cD9qWNntzkHVGrvSBYvYZqJuPdk-VxsmDAQGMmV2_bnX_59GBcDwnXMGCbATYrpopyurMM-i2-xKko93ofFo74I-XxCgqGWJjF4X4eh3dYiJ9NyKvVjoHatvPa9e9KUbKou9lCLOKXXtGIF2bPotk7SrseTK1W-ON0abD8sowkEcMsvLOF6cxBCY6ZkmtnvhHfr0uQrAswlgN_TiVdTWhagNSNQ48Ck1ZSbM-7HL53LYvp-ZBgPPvA4YYqZZgXyuOeSVpHBWPFX3eti1zSb9IATWyLBJk134DlKSlAN75lvrYrAEWFuyOh4AIaOsWUEp-_rMNylZT3lGqBIuMvuxOu5gdfQ0BsjhZ9jhF9cJTTZQFn6wP3L4rwhVGbtYa8Nm4277w8R41W06XZgQe6lGpg97AjQT6NKHimeocp8UXu2xm8L_TQAn97pY7LybZDH74v01zMZl3qn01QWolvngxFF8sVbuvWhF-adPpx9CSKgu-KZuvZen&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
10,حي الخليج,مطعم ألاتوركا,مطعم ألاتوركا,عام,مطعم,4.0,673,24.7744348,46.8181526,6809 الامير بندر بن عبدالعزيز،، الخليج 4308 الرياض 13224 Saudi Arabia,1.5,15,الاتجاهات,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATCDNfWLfOn8D0GyKjta-EjiC-V36fqLShNrk-BlpXIKzOVqkj9HeeW01aHxWc0LBanrlTQSXYF7tjMxVADHXR6PeaqHTXP9WT4f_dkApXtiucitE0ItT0Bmnjv9wfSIMHjQhANkqScGIGBL5VRTj0GLSq4avZWnaohImhcChpqWFfdf8Ybghw_F44Dg85i2Wg5Mr1Vdla2b9gH-gvCUZQDxelRkVPsuh-80TduGsR8Tiakt5FitxJxcfdEXBX1NBiLjrTuFUOPx448jUire1YShQlrU8xqmnagnCaCNjh3JlZZ2VAvextV3bnyE4AkduxFcZ533xZgo_oxFG4mEWw7ln9k62SXyqPeZ-pclc2fKs6Nda0RWmHHS9kxcPtx7chDlTmwF-QW4xTbwqJ4yOWZhQJo-2Yij4_DgxGM0MwfA6WKQPq4adz3R3mNPUCfktiODH3ANs6NfXY5U7N9-8tnxRV19QsuEeEmsZBYpR50xn9QNeat6ipmhgzWwmKidmgVk4l06pfcdH6fgU1BVHh3SzAtcT7JgM5JC3NiOBdtkdBw4Fj4UCjoqw7wHCsNxML0mFas6yB-I&key=AIzaSyBGQs8l-2MCNs_7XJ9znkSpovWtZZCRxEc
